PHA_type,component,readable_name,residue_code,smiles
3H5TPxV,trimer,P3H5TPxV_3,AHO,O[C@@H](CCSC1=CC=CC=C1)CC(=O)O[C@@H](CCSC1=CC=CC=C1)CC(=O)O[C@@H](CCSC1=CC=CC=C1)CC(=O)O
3H5TPxV,head,hP3H5TPxV,AHP,O[C@@H](CCSC1=CC=CC=C1)CC(=O)O
3H5TPxV,mainchain,mP3H5TPxV,AHQ,O[C@@H](CCSC1=CC=CC=C1)CC(=O)O
3H5TPxV,tail,tP3H5TPxV,AHR,O[C@@H](CCSC1=CC=CC=C1)CC(=O)O
3H5pFTPxV,trimer,P3H5pFTPxV_3,AHS,O[C@@H](CSC1=CC=C(F)C=C1)CC(=O)O[C@@H](CSC1=CC=C(F)C=C1)CC(=O)O[C@@H](CSC1=CC=C(F)C=C1)CC(=O)O
3H5pFTPxV,head,hP3H5pFTPxV,AHT,O[C@@H](CSC1=CC=C(F)C=C1)CC(=O)O
3H5pFTPxV,mainchain,mP3H5pFTPxV,AHU,O[C@@H](CSC1=CC=C(F)C=C1)CC(=O)O
3H5pFTPxV,tail,tP3H5pFTPxV,AHV,O[C@@H](CSC1=CC=C(F)C=C1)CC(=O)O
3H7TPxHp,trimer,P3H7TPxHp_3,AHW,O[C@H](CCCCSC1=CC=CC=C1)CC(=O)O[C@H](CCCCSC1=CC=CC=C1)CC(=O)O[C@H](CCCCSC1=CC=CC=C1)CC(=O)O
3H7TPxHp,head,hP3H7TPxHp,AHX,O[C@H](CCCCSC1=CC=CC=C1)CC(=O)O
3H7TPxHp,mainchain,mP3H7TPxHp,AHY,O[C@H](CCCCSC1=CC=CC=C1)CC(=O)O
3H7TPxHp,tail,tP3H7TPxHp,AHZ,O[C@H](CCCCSC1=CC=CC=C1)CC(=O)O
3H6TPxHx,trimer,P3H6TPxHx_3,AIA,O[C@H](CCCCSC1=CC=CC=C1)CC(=O)O[C@H](CCCCSC1=CC=CC=C1)CC(=O)O[C@H](CCCCSC1=CC=CC=C1)CC(=O)O
3H6TPxHx,head,hP3H6TPxHx,AIB,O[C@H](CCCSC1=CC=CC=C1)CC(=O)O
3H6TPxHx,mainchain,mP3H6TPxHx,AIC,O[C@H](CCCSC1=CC=CC=C1)CC(=O)O
3H6TPxHx,tail,tP3H6TPxHx,AID,O[C@H](CCCSC1=CC=CC=C1)CC(=O)O
3MB,trimer,P3MB_3,AIE,O[C@H](S)CC(=O)O[C@H](S)CC(=O)O[C@H](S)CC(=O)O
3MB,head,hP3MB,AIF,O[C@H](S)CC(=O)O
3MB,mainchain,mP3MB,AIG,O[C@H](S)CC(=O)O
3MB,tail,tP3MB,AIH,O[C@H](S)CC(=O)O
